id_sleeper,id_name,id_pos,adp_adp,adp_rank,adp_posrank,draft_year,draft_round
12482,Savion Williams,WR,237.41,234,87,2025,
7670,Josh Palmer,WR,237.53,235,88,2021,3
11562,Spencer Rattler,QB,237.95,236,42,2024,5
11610,Malik Washington,WR,238.01,237,89,2024,6
1479,Keenan Allen,WR,239.63,238,90,2013,3
12462,Damien Martinez,RB,240.27,239,72,2025,
10232,Michael Wilson,WR,240.28,240,91,2023,3
11439,Jaleel McLaughlin,RB,241.36,241,73,2023,
9482,Michael Mayer,TE,241.79,242,36,2023,2
11577,Will Shipley,RB,242.26,243,74,2024,4
12531,Trevor Etienne,RB,242.27,244,75,2025,
12496,Tai Felton,WR,242.35,245,92,2025,
9504,Kayshon Boutte,WR,245.23,246,93,2023,6
5937,Diontae Johnson,WR,245.84,247,94,2019,3
11619,Ja'Lynn Polk,WR,246.75,248,95,2024,2
12493,Oronde Gadsden,TE,247.06,249,37,2025,
12502,Gunnar Helm,TE,247.41,250,38,2025,
8167,Christian Watson,WR,251.39,251,96,2022,2
8117,Jalen Tolbert,WR,251.7,252,97,2022,3
7596,Elijah Moore,WR,253.3,253,98,2021,2
1426,DeAndre Hopkins,WR,255.07,254,99,2013,1
11650,Luke McCaffrey,WR,256.22,255,100,2024,3
12503,Isaiah Bond,WR,257.21,256,101,2025,
7002,Juwan Johnson,TE,259.27,257,39,2020,
9999,Will Levis,QB,259.52,258,43,2023,2
4098,Kareem Hunt,RB,259.58,259,76,2017,3
6845,Zack Moss,RB,260.71,260,77,2020,3
2306,Jameis Winston,QB,260.75,261,44,2015,1
12533,Jacory Croskey-Merritt,RB,261.6,262,78,2025,
5857,Noah Fant,TE,261.97,263,40,2019,1
11617,Malachi Corley,WR,263.09,264,102,2024,3
8162,Sam Howell,QB,265,265,45,2022,5
19,Joe Flacco,QB,265.39,266,46,2008,1
9481,Luke Musgrave,TE,266.44,267,41,2023,2
5995,Justice Hill,RB,266.46,268,79,2019,4
12485,Tez Johnson,WR,267.19,269,103,2025,
12540,CHimere Dike,WR,267.99,270,104,2025,
12541,Dont'e Thornton,WR,268.6,271,105,2025,
9506,Sean Tucker,RB,268.78,272,80,2023,
11647,Kimani Vidal,RB,269.63,273,81,2024,6
11640,Jermaine Burton,WR,271.62,274,106,2024,3
11571,Isaiah Davis,RB,272.79,275,82,2024,5
8125,Calvin Austin III,WR,272.91,276,107,2022,4
10213,Tre Tucker,WR,273.12,277,108,2023,3
2374,Tyler Lockett,WR,273.64,278,109,2015,3
8129,Dameon Pierce,RB,275.26,279,83,2022,4
9487,Parker Washington,WR,276.47,280,110,2023,6
12478,Nick Nash,WR,279.73,281,111,2025,
7587,Dyami Brown,WR,281.76,282,112,2021,3
11603,AJ Barner,TE,281.83,283,42,2024,4
12544,LeQuint Allen,RB,282.02,284,84,2025,
8139,Zamir White,RB,282.05,285,85,2022,4
6130,Devin Singletary,RB,282.82,286,86,2019,3
5133,Tyler Conklin,TE,282.82,287,43,2018,5
12641,Jaylin Lane,WR,282.85,288,113,2025,
12523,Jimmy Horn,WR,283.02,289,114,2025,
3271,Tyler Higbee,TE,283.74,290,44,2016,4
4017,Deshaun Watson,QB,284.53,291,47,2017,1
12470,Riley Leonard,QB,284.68,292,48,2025,
11599,Cade Stover,TE,285.29,293,45,2024,4
7527,Mac Jones,QB,288.07,294,49,2021,1
6945,Antonio Gibson,RB,288.35,295,87,2020,3
4381,Taysom Hill,TE,288.63,296,46,2017,
7562,Tutu Atwell,WR,289.13,297,115,2021,2
4972,Mason Rudolph,QB,289.18,298,50,2018,3
